,city_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date
83,qui nhon,13.77,109.23,83.88,66,0,5.26,VN,1588726850
261,kununurra,-15.77,128.73,80.6,19,0,9.17,AU,1588727162
295,wuzhou,23.48,111.32,84.67,72,0,3.96,CN,1588727167
338,nizwa,22.93,57.53,81.16,45,0,3.27,OM,1588727173
384,yaan,7.38,8.57,81.84,72,0,8.16,NG,1588727179
413,keita,14.76,5.77,83.89,13,0,8.19,NE,1588727184
424,biu,10.61,12.19,79.74,20,0,2.71,NG,1588727185
434,kulachi,31.93,70.46,82.0,37,0,2.93,PK,1588727187
439,karratha,-20.74,116.85,79.45,41,0,5.73,AU,1588727187
449,rajpipla,21.87,73.5,80.71,67,0,2.98,IN,1588727189
551,payo,-3.75,103.64,79.25,84,0,1.21,ID,1588727204
